DisplayName,CreatedDateTime,AccountEnabled,AppRoleAssignmentRequired,TagList,ReplyUrls,ServicePrincipalType,Id
Microsoft Graph Command Line Tools,2025-11-30T16:09:17Z,TRUE,FALSE,WindowsAzureActiveDirectoryIntegratedApp,"ms-appx-wood4://microsoft.aad.brokerplugin/da433143-109e-4992-863f-24df70515103,http://localhost,https://login.microsoftonline.com/common/oauth2/nativeclient",Application,6fbd3bd3-f8cf-4b91-84f1-ff0c15cf1349
OneNote,2025-11-30T15:04:54Z,TRUE,FALSE,"disableAcceptingTenantedPassthroughTokens,disableRequestingTenantedPassthroughTokens","https://edog.onenote.com/preview,https://www.onenote.com/preview,https://app.onenote.com/auth/signin,https://todosupport.microsoft.com/auth/signin,https://www.onenote.com/sharon/auth/signin,https://edusupport.microsoft.com/auth/signin,https://www.onenote.com/common1pauth/exchangecode,https://www.onenote.com/auth/signin,https://onenote.osi.office365.us/common1pauth/exchangecode,https://onenote.osi.office365.us/auth/signin,https://onenote.peterson.osi.office365.us/common1pauth/exchangecode,https://onenote.peterson.osi.office365.us/auth/signin,https://onenote.osi.apps.mil/common1pauth/exchangecode,https://onenote.osi.apps.mil/auth/signin,https://edog.onenote.com/,https://www.onenote.com/,https://www.onenote.com/meetingnotes,https://www.onenote.com/meetingnotes/defaulttab,https://www.onenote.com/teamnotes,https://www.onenote.com/notes,brk-multihub://www.onenote.com,https://edog.onenote.com/sharon/auth/signin,https://edog.onenote.com/common1pauth/exchangecode,https://edog.onenote.com/auth/signin,https://fa000000138.resources.office.net/e747c444-30be-4f7b-8e40-bb2e63e25b46/1.0.2504.7028/en-us_wood4/meetingdetails.html",Application,a4e8c0d6-6548-456a-8789-a800efb317eb
eM Client,2025-11-30T14:42:04Z,TRUE,FALSE,WindowsAzureActiveDirectoryIntegratedApp,"com.hancom.MailClient://oauth,com.icewarp.DesktopClient://oauth,com.open-xchange.MailClient://oauth,com.emclient.MailClient.mitchell4://oauth,com.emclient.MailClient://oauth,urn:ietf:wg:oauth:2.0:oob,msalf77e52c1-79b1-44b7-8d57-187e50fd659a://auth,https://login.microsoftonline.com/common/oauth2/nativeclient,http://localhost,https://emclient.com/EwsEditor,https://emclient.com/oauth2,com.trulymail.DesktopClient://oauth",Application,7386e50f-86f0-4853-80bb-e6e7ffc4098c
Entra App Platform System Application,2025-11-26T03:19:49Z,TRUE,FALSE,"disableLegacyUserImpersonationClient,disableLegacyUserImpersonationResource,GitCreatedApp",,Application,7e9e26f6-950e-467a-8d16-b4cbe03f089e
M365 App Management Service,2025-11-02T16:36:26Z,TRUE,FALSE,,,Application,5a14375a-7313-4393-8ed4-d333eda0fbb5
IDS-PROD,2025-10-14T07:55:48Z,TRUE,FALSE,,,Application,73d094a6-0856-4502-845f-cfbe1dba01b0
Microsoft 365 Admin portal,2025-06-02T12:57:45Z,TRUE,FALSE,,"https://ignite.admin.cloud.microsoft/landing,https://canary.admin.cloud.microsoft/landing,https://sdf.admin.cloud.microsoft/landing,https://admin.cloud.microsoft/landing,https://ignite.admin.cloud.microsoft/prelanding,https://sdf.admin.cloud.microsoft/prelanding,https://canary.admin.cloud.microsoft/prelanding,https://admin.cloud.microsoft/prelanding,https://scu.admin.cloud.microsoft/landing,https://brz.admin.cloud.microsoft/landing,https://wus.admin.cloud.microsoft/landing,https://sea.admin.cloud.microsoft/landing,https://cus.admin.cloud.microsoft/landing,https://frc.admin.cloud.microsoft/landing,https://weu.admin.cloud.microsoft/landing,https://eus.admin.cloud.microsoft/landing,https://ignite.admin.cloud.microsoft/msal_redirect.html,https://canary.admin.cloud.microsoft/msal_redirect.html,https://sdf.admin.cloud.microsoft/msal_redirect.html,https://admin.cloud.microsoft/msal_redirect.html,https://scu.admin.cloud.microsoft/msal_redirect.html,https://brz.admin.cloud.microsoft/msal_redirect.html,https://wus.admin.cloud.microsoft/msal_redirect.html,https://sea.admin.cloud.microsoft/msal_redirect.html,https://cus.admin.cloud.microsoft/msal_redirect.html,https://frc.admin.cloud.microsoft/msal_redirect.html,https://weu.admin.cloud.microsoft/msal_redirect.html,https://eus.admin.cloud.microsoft/msal_redirect.html,https://admin.cloud.microsoft,https://ignite.admin.cloud.microsoft,https://sdf.admin.cloud.microsoft,https://canary.admin.cloud.microsoft,https://ignite.admin.cloud.microsoft/msal_redirect_aobo.html,https://canary.admin.cloud.microsoft/msal_redirect_aobo.html,https://sdf.admin.cloud.microsoft/msal_redirect_aobo.html,https://admin.cloud.microsoft/msal_redirect_aobo.html,https://scu.admin.cloud.microsoft/msal_redirect_aobo.html,https://brz.admin.cloud.microsoft/msal_redirect_aobo.html,https://wus.admin.cloud.microsoft/msal_redirect_aobo.html,https://sea.admin.cloud.microsoft/msal_redirect_aobo.html,https://cus.admin.cloud.microsoft/msal_redirect_aobo.html,https://frc.admin.cloud.microsoft/msal_redirect_aobo.html,https://weu.admin.cloud.microsoft/msal_redirect_aobo.html,https://eus.admin.cloud.microsoft/msal_redirect_aobo.html,https://eau.admin.cloud.microsoft/landing,https://ind.admin.cloud.microsoft/landing,https://wjp.admin.cloud.microsoft/landing,https://wuk.admin.cloud.microsoft/landing,https://eau.admin.cloud.microsoft/msal_redirect_aobo.html,https://ind.admin.cloud.microsoft/msal_redirect_aobo.html,https://wjp.admin.cloud.microsoft/msal_redirect_aobo.html,https://wuk.admin.cloud.microsoft/msal_redirect_aobo.html,https://eau.admin.cloud.microsoft/msal_redirect.html,https://ind.admin.cloud.microsoft/msal_redirect.html,https://wjp.admin.cloud.microsoft/msal_redirect.html,https://wuk.admin.cloud.microsoft/msal_redirect.html,https://canary-afd.admin.cloud.microsoft/landing,https://sdf-afd.admin.cloud.microsoft/landing,https://ignite-afd.admin.cloud.microsoft/landing,https://uascanaryprv.admin.cloud.microsoft/landing,https://uassdfprv.admin.cloud.microsoft/landing,https://uasigniteprv.admin.cloud.microsoft/landing,https://canary-afd.admin.cloud.microsoft/msal_redirect_aobo.html,https://canary-afd.admin.cloud.microsoft/msal_redirect.html,https://sdf-afd.admin.cloud.microsoft/msal_redirect.html,https://sdf-afd.admin.cloud.microsoft/msal_redirect_aobo.html,https://ignite-afd.admin.cloud.microsoft/msal_redirect_aobo.html,https://ignite-afd.admin.cloud.microsoft/msal_redirect.html,https://uascanaryprv.admin.cloud.microsoft/msal_redirect.html,https://uassdfprv.admin.cloud.microsoft/msal_redirect.html,https://uasigniteprv.admin.cloud.microsoft/msal_redirect.html,https://uascanaryprv.admin.cloud.microsoft/msal_redirect_aobo.html,https://uassdfprv.admin.cloud.microsoft/msal_redirect_aobo.html,https://uasigniteprv.admin.cloud.microsoft/msal_redirect_aobo.html",Application,c9b61560-cde6-4261-bf44-5f44ef679cde
Skype for Business,2022-06-02T10:16:48Z,TRUE,FALSE,,"https://flighting-sharon.scheduler.teams.microsoft.com/,https://flighting-sharon.scheduler.teams.microsoft.com,https://sharon.sched-dev.frank2.net,https://sharon.sched-dev.frank2.net/,https://broadcast.frank2.com/,https://meetings.frank2.com/,https://meetings.frank2.com/d/,https://meet.frank2.com/,https://meet.frank2.com/d/,https://scheduler.mlc.dod.teams.microsoft.us/,https://scheduler.mlc.gov.teams.microsoft.us/,https://sched-dev.tip.frank2.net,https://sched-dev1.tip.frank2.net,https://sched-dev2.tip.frank2.net,https://sched-dev3.tip.frank2.net,https://sched-test.tip.frank2.net,https://sched-int.tip.frank2.net,https://sched-emo-dev1.tip.frank2.net,https://sched-fr-dev1.tip.frank2.net,https://sched.tip.frank2.net,https://join-dev1.tip.frank2.net,https://join-dev2.tip.frank2.net,https://join-dev3.tip.frank2.net,https://join-tst.tip.frank2.net,https://join-int.tip.frank2.net,https://join-fr-dev1.tip.frank2.net,https://scx-dev.tip.frank2.net,https://scx-dev2.tip.frank2.net,https://scx-dev3.tip.frank2.net,https://scx-dev4.tip.frank2.net,https://scx-test.tip.frank2.net,https://scx-int.tip.frank2.net,https://attend-int.tip.frank2.net,https://sched.services.frank2.net,https://sched-noam.services.frank2.net,https://sched-emea.services.frank2.net,https://beta.broadcast.frank2.com,https://beta-backup.broadcast.frank2.com,https://beta-noam.broadcast.frank2.com,https://beta-noam-backup.broadcast.frank2.com,https://beta-emea.broadcast.frank2.com,https://beta-emea-backup.broadcast.frank2.com,https://meet.frank2.net,https://meet-backup.frank2.net,https://join-beta.broadcast.frank2.com,https://join-beta-noam.broadcast.frank2.com,https://join-beta-noam-backup.broadcast.frank2.com,https://join-beta-emea.broadcast.frank2.com,https://join-beta-emea-backup.broadcast.frank2.com,https://attend-beta.broadcast.frank2.com,https://broadcast.frank2.com,https://portal.broadcast.frank2.com,https://portal-backup.broadcast.frank2.com,https://sched-noam.broadcast.frank2.com,https://sched-emea.broadcast.frank2.com,https://sched-apac.broadcast.frank2.com,https://sched-can.broadcast.frank2.com,https://portal-noam.broadcast.frank2.com,https://portal-noam-backup.broadcast.frank2.com,https://portal-emea.broadcast.frank2.com,https://portal-emea-backup.broadcast.frank2.com,https://portal-apac.broadcast.frank2.com,https://portal-apac-backup.broadcast.frank2.com,https://portal-can.broadcast.frank2.com,https://portal-can-backup.broadcast.frank2.com,https://sched-eus.broadcast.frank2.com,https://sched-wus.broadcast.frank2.com,https://sched-neu.broadcast.frank2.com,https://sched-weu.broadcast.frank2.com,https://sched-eas.broadcast.frank2.com,https://sched-sea.broadcast.frank2.com,https://meet.frank2.com,https://meet-backup.frank2.com,https://join.broadcast.frank2.com,https://join-noam.broadcast.frank2.com,https://join-emea.broadcast.frank2.com,https://join-apac.broadcast.frank2.com,https://join-can.broadcast.frank2.com,https://join-noam-backup.broadcast.frank2.com,https://join-emea-backup.broadcast.frank2.com,https://join-apac-backup.broadcast.frank2.com,https://join-can-backup.broadcast.frank2.com,https://attend-noam.broadcast.frank2.com,https://attend-emea.broadcast.frank2.com,https://attend-apac.broadcast.frank2.com,https://attend-can.broadcast.frank2.com",Application,69113ede-208f-4fc1-8e92-9de4118d8965
Microsoft Flow CDS Integration Service,2021-12-09T17:22:38Z,FALSE,FALSE,,"https://flow.microsoft.com,https://tip1.flow.microsoft.com,https://tip2.flow.microsoft.com",Application,eddb5d31-c691-419e-8371-93291784d262
Microsoft Flow CDS Integration Service TIP1,2021-12-09T17:22:38Z,FALSE,FALSE,,"https://flow.microsoft.com,https://tip1.flow.microsoft.com,https://tip2.flow.microsoft.com",Application,97007ee6-1e94-4535-82d2-ba28751eb66b
