DisplayName,CreatedDateTime,AccountEnabled,AppRoleAssignmentRequired,TagList,ReplyUrls,ServicePrincipalType,Id
Microsoft Graph Command Line Tools,2025-12-17T22:19:09Z,TRUE,FALSE,WindowsAzureActiveDirectoryIntegratedApp,"ms-appx-james10://microsoft.aad.brokerplugin/16529af8-c597-4b72-8a9b-2e3b3ffdc395,http://localhost,https://login.microsoftonline.com/common/oauth2/nativeclient",Application,3f3a2163-ba44-4405-8927-2b27e3aa168e
Microsoft 365 App Catalog Services,2025-12-09T02:21:51Z,TRUE,FALSE,disableLegacyUserImpersonationResource,,Application,c648dfaf-61fa-4070-8036-9c87d2c7cf2c
Entra App Platform System Application,2025-11-25T01:35:38Z,TRUE,FALSE,"disableLegacyUserImpersonationClient,disableLegacyUserImpersonationResource,GitCreatedApp",,Application,7d3d1d50-185a-4858-8a39-613c4527bab2
Power Apps Service Customer Management Plane Backend,2025-11-20T18:35:58Z,TRUE,FALSE,,,Application,03698a26-deb5-413e-8d05-d1f5982a14d8
Microsoft 365 Admin portal,2025-11-15T13:37:19Z,TRUE,FALSE,,"https://ignite.admin.cloud.microsoft/landing,https://canary.admin.cloud.microsoft/landing,https://sdf.admin.cloud.microsoft/landing,https://admin.cloud.microsoft/landing,https://ignite.admin.cloud.microsoft/prelanding,https://sdf.admin.cloud.microsoft/prelanding,https://canary.admin.cloud.microsoft/prelanding,https://admin.cloud.microsoft/prelanding,https://scu.admin.cloud.microsoft/landing,https://brz.admin.cloud.microsoft/landing,https://wus.admin.cloud.microsoft/landing,https://sea.admin.cloud.microsoft/landing,https://cus.admin.cloud.microsoft/landing,https://frc.admin.cloud.microsoft/landing,https://weu.admin.cloud.microsoft/landing,https://eus.admin.cloud.microsoft/landing,https://ignite.admin.cloud.microsoft/msal_redirect.html,https://canary.admin.cloud.microsoft/msal_redirect.html,https://sdf.admin.cloud.microsoft/msal_redirect.html,https://admin.cloud.microsoft/msal_redirect.html,https://scu.admin.cloud.microsoft/msal_redirect.html,https://brz.admin.cloud.microsoft/msal_redirect.html,https://wus.admin.cloud.microsoft/msal_redirect.html,https://sea.admin.cloud.microsoft/msal_redirect.html,https://cus.admin.cloud.microsoft/msal_redirect.html,https://frc.admin.cloud.microsoft/msal_redirect.html,https://weu.admin.cloud.microsoft/msal_redirect.html,https://eus.admin.cloud.microsoft/msal_redirect.html,https://admin.cloud.microsoft,https://ignite.admin.cloud.microsoft,https://sdf.admin.cloud.microsoft,https://canary.admin.cloud.microsoft,https://ignite.admin.cloud.microsoft/msal_redirect_aobo.html,https://canary.admin.cloud.microsoft/msal_redirect_aobo.html,https://sdf.admin.cloud.microsoft/msal_redirect_aobo.html,https://admin.cloud.microsoft/msal_redirect_aobo.html,https://scu.admin.cloud.microsoft/msal_redirect_aobo.html,https://brz.admin.cloud.microsoft/msal_redirect_aobo.html,https://wus.admin.cloud.microsoft/msal_redirect_aobo.html,https://sea.admin.cloud.microsoft/msal_redirect_aobo.html,https://cus.admin.cloud.microsoft/msal_redirect_aobo.html,https://frc.admin.cloud.microsoft/msal_redirect_aobo.html,https://weu.admin.cloud.microsoft/msal_redirect_aobo.html,https://eus.admin.cloud.microsoft/msal_redirect_aobo.html,https://eau.admin.cloud.microsoft/landing,https://ind.admin.cloud.microsoft/landing,https://wjp.admin.cloud.microsoft/landing,https://wuk.admin.cloud.microsoft/landing,https://eau.admin.cloud.microsoft/msal_redirect_aobo.html,https://ind.admin.cloud.microsoft/msal_redirect_aobo.html,https://wjp.admin.cloud.microsoft/msal_redirect_aobo.html,https://wuk.admin.cloud.microsoft/msal_redirect_aobo.html,https://eau.admin.cloud.microsoft/msal_redirect.html,https://ind.admin.cloud.microsoft/msal_redirect.html,https://wjp.admin.cloud.microsoft/msal_redirect.html,https://wuk.admin.cloud.microsoft/msal_redirect.html,https://canary-afd.admin.cloud.microsoft/landing,https://sdf-afd.admin.cloud.microsoft/landing,https://ignite-afd.admin.cloud.microsoft/landing,https://uascanaryprv.admin.cloud.microsoft/landing,https://uassdfprv.admin.cloud.microsoft/landing,https://canary-afd.admin.cloud.microsoft/msal_redirect_aobo.html,https://canary-afd.admin.cloud.microsoft/msal_redirect.html,https://sdf-afd.admin.cloud.microsoft/msal_redirect.html,https://sdf-afd.admin.cloud.microsoft/msal_redirect_aobo.html,https://ignite-afd.admin.cloud.microsoft/msal_redirect_aobo.html,https://ignite-afd.admin.cloud.microsoft/msal_redirect.html,https://uascanaryprv.admin.cloud.microsoft/msal_redirect.html,https://uassdfprv.admin.cloud.microsoft/msal_redirect.html,https://uasigniteprv.admin.cloud.microsoft/msal_redirect.html,https://uascanaryprv.admin.cloud.microsoft/msal_redirect_aobo.html,https://uassdfprv.admin.cloud.microsoft/msal_redirect_aobo.html,https://uasigniteprv.admin.cloud.microsoft/msal_redirect_aobo.html",Application,710bf247-48cd-4724-8cc2-aaea6d58554e
Office Online Service,2025-11-09T21:21:38Z,TRUE,FALSE,"disableLegacyUserImpersonationResource,disableLegacyUserImpersonationClient,disableAcceptingTenantedPassthroughTokens,disableRequestingTenantedPassthroughTokens",,Application,b6d702ef-72d9-4564-810d-ec8c24a29e67
PERFECTDATA SOFTWARE,2025-09-30T21:49:56Z,FALSE,TRUE,"HideApp,WindowsAzureActiveDirectoryIntegratedApp","http://localhost:80,urn:ietf:wg:oauth:2.0:oob,https://login.microsoftonline.com/common/oauth2/nativeclient,https://login.live.com/oauth20_desktop.srf,msal791bdda4-5c6f-45a7-8c2f-af3bb901ba6f://jennifer",Application,18e672f2-6a42-4170-85ad-44174cadcca4
Microsoft Teams Analytics,2025-03-20T18:32:14Z,TRUE,FALSE,"disableLegacyUserImpersonationResource,disableLegacyUserImpersonationClient",,Application,2d016882-b80b-4982-89a4-f5a8dfc19a0b
Substrate Instant Revocation Pipeline,2025-03-19T17:19:32Z,TRUE,FALSE,,,Application,69481a5c-c420-451b-8564-082deb28ed0a
Microsoft Defender for Cloud Apps - Customer Experience,2024-12-17T21:35:00Z,TRUE,FALSE,"GitCreatedApp,disableLegacyUserImpersonationResource,disableLegacyUserImpersonationClient",,Application,fbcf1306-6eaf-43cc-8abf-6c626765aa0b
