DisplayName,ServicePrincipalType,CreatedDateTime,AccountEnabled,Id
Microsoft Graph Command Line Tools,Application,2025-09-29T20:07:29Z,TRUE,5e5c9350-b7ad-48c2-842b-d813973f08b3
M365 App Management Service,Application,2025-09-13T21:39:13Z,TRUE,a134b95a-52b3-442a-8e0c-69efcca35f6c
Modern Workplace Customer APIs,Application,2025-09-13T13:58:12Z,TRUE,ab310a59-ce07-466e-86ff-5022d3ceca75
MicrosoftEntraIDReputationManagementServices,Application,2025-09-13T13:33:19Z,TRUE,b573431a-1440-4317-835e-10e27202c2e4
test,Application,2025-08-03T19:27:05Z,TRUE,ba691992-20c4-432f-8627-5762bdbb4d57
Microsoft 365 Admin portal,Application,2025-08-03T18:11:36Z,TRUE,4338cbdf-4c44-45e8-8fec-d9ca597dde28
Office Online Service,Application,2025-07-16T20:09:13Z,TRUE,a7685bb5-d042-429f-8f68-9786df728dd5
Zoom,Application,2023-01-19T17:26:25Z,TRUE,034344b7-695b-4698-86c1-e94c4d84b94f
My Apps,Application,2023-01-09T19:49:03Z,TRUE,3c7a5609-587c-4215-8fc5-0c3eb8afeca3
Zoominfo Login,Application,2021-05-21T15:56:28Z,TRUE,76219981-15e7-4d11-8e6e-755570cfade2
ZoomInfo Communitiez Login,Application,2021-05-19T14:50:28Z,TRUE,7f7ea214-8684-4ecf-8b6d-9915873656ab
WindowsUpdate-Service,Application,2021-02-20T04:28:21Z,TRUE,7f6c1eee-f61e-480d-8be2-094c6d7468c1
Adobe Acrobat Reader for PDF,Application,2021-01-14T19:48:25Z,TRUE,5a9ba07f-14ab-4bac-8cd0-3e87a01f7f0a
Azure Multi-Factor Auth Client,Application,2020-05-08T14:56:17Z,TRUE,69c04a40-c5f1-470d-831a-592b3877459a
Microsoft Threat Protection,Application,2020-05-08T14:56:17Z,TRUE,70342c96-6eab-435a-87fc-456746535a78
Microsoft Visio Data Visualizer,Application,2020-05-08T14:56:17Z,TRUE,d9f3b5cc-ad70-4dd1-8bb7-cc21657278e2
Azure Multi-Factor Auth Connector,Application,2020-05-08T14:56:11Z,TRUE,8d5a24a5-03c9-4e70-824a-fac0ac13ea8d
Microsoft Cloud App Security,Application,2020-05-08T14:56:11Z,TRUE,21744d7c-1158-44e7-87d3-531a42f86e5a
Skype for Business Voicemail,Application,2020-04-29T19:13:36Z,TRUE,09e52815-0daf-47c0-8d98-435bfbfe4067
Request Approvals Read Platform,Application,2020-04-24T18:41:26Z,TRUE,99128089-03b5-4d24-8a17-280633f109d8
Azure AD Identity Governance - Entitlement Management,Application,2020-04-24T18:41:26Z,TRUE,47d81fc2-ba42-4b9b-8dd1-629b0571b1e0
Azure AD Identity Governance - SPO Management,Application,2020-04-24T18:41:26Z,TRUE,aebac3b2-9692-44c9-8b13-a9037933f17b
Power Platform Dataflows Common Data Service Client,Application,2020-04-24T18:41:25Z,TRUE,6e3alexander1432-242c-4559-86e9-bd4939297e23
