
OrganizationId                                            : LABPR69A085.PROD.OUTLOOK.COM/Microsoft Exchange Hosted Organizations/contoso.onmicrosoft.com - LABPR69A085.PROD.OUTLOOK.COM/ConfigurationUnits/contoso.onmicrosoft.com/King17
Name                                                      : contoso.onmicrosoft.com
Patel26                                                  : contoso.onmicrosoft.com
Guid                                                      : 1f477d05-0937-4c99-8876-3032c12807ff
ObjectVersion                                             : 16500
DelayedDelicensingEnabledState                            : Enabled: False; WhenLastModifiedUtc: 2/1/1 12:00:00 AM
TenantAdminNotificationForDelayedDelicensingState         : Enabled: False; WhenLastModifiedUtc: 2/1/1 12:00:00 AM
EndUserMailNotificationForDelayedDelicensingState         : Enabled: False; WhenLastModifiedUtc: 2/1/1 12:00:00 AM
DelayedDelicensingBlockedExplicitlyState                  : Enabled: False; WhenLastModifiedUtc: 2/1/1 12:00:00 AM
DefaultPublicFolderAgeLimit                               : 
DefaultPublicFolderIssueWarningQuota                      : 1.7 GB (1,825,361,920 bytes)
DefaultPublicFolderProhibitPostQuota                      : 2 GB (2,147,483,648 bytes)
DefaultPublicFolderMaxItemSize                            : Unlimited
DefaultPublicFolderDeletedItemRetention                   : 14.00:00:00
DefaultPublicFolderMovedItemRetention                     : 14.00:00:00
PublicFoldersLockedForMigration                           : False
PublicFolderMigrationComplete                             : False
PublicFolderMailboxesLockedForNewConnections              : False
PublicFolderMailboxesMigrationComplete                    : False
PublicFolderShowClientControl                             : False
PublicFoldersEnabled                                      : Local
ActivityBasedAuthenticationTimeoutEnabled                 : True
ActivityBasedAuthenticationTimeoutInterval                : 06:00:00
ActivityBasedAuthenticationTimeoutWithSingleSignOnEnabled : True
AppsForOfficeEnabled                                      : True
AppsForOfficeCorpCatalogAppsCount                         : 0
PrivateCatalogAppsCount                                   : 0
AVAuthenticationService                                   : 
CustomerFeedbackEnabled                                   : 
DistributionGroupDefaultOU                                : 
DistributionGroupNameBlockedWordsList                     : {}
DistributionGroupNamingPolicy                             : 
EwsAllowEntourage                                         : 
EwsAllowList                                              : 
EwsAllowMacOutlook                                        : 
EwsAllowOutlook                                           : 
DisablePlusAddressInRecipients                            : False
RejectDirectSend                                          : False
MaskClientIpInReceivedHeadersEnabled                      : True
EwsApplicationAccessPolicy                                : 
EwsBlockList                                              : 
AutodiscoverPartialDirSync                                : False
EwsEnabled                                                : 
IPListBlocked                                             : {}
ElcProcessingDisabled                                     : False
AutoExpandingArchiveEnabled                               : False
ComplianceMLBgdCrawlEnabled                               : False
ExchangeNotificationEnabled                               : True
ExchangeNotificationRecipients                            : {}
HierarchicalAddressBookRoot                               : 
Industry                                                  : NotSpecified
MailTipsAllTipsEnabled                                    : True
MailTipsExternalRecipientsTipsEnabled                     : False
MailTipsKelly50tricsEnabled                               : True
MailTipsLargeAudienceThreshold                            : 25
MailTipsMailboxSourcedTipsEnabled                         : True
ManagedFolderHomepage                                     : 
MicrosoftExchangeRecipientEmailAddresses                  : {SMTP:foster26@contoso.onmicrosoft.com}
MicrosoftExchangeRecipientEmailAddressPolicyEnabled       : True
MicrosoftExchangeRecipientPrimarySmtpAddress              : foster26@contoso.onmicrosoft.com
MicrosoftExchangeRecipientReplyRecipient                  : 
ForwardSyncLiveIdBusinessInstance                         : False
OrganizationSummary                                       : {}
ReadTrackingEnabled                                       : False
SCLJunkThreshold                                          : 4
SIPAccessService                                          : 
SIPSessionBorderController                                : 
MaxConcurrentMigrations                                   : Unlimited
MaxAddressBookPolicies                                    : 
MaxOfflineAddressBooks                                    : 
MaxInformationBarrierSegmentsLegacy                       : 
MaxInformationBarrierSegments                             : 5000
MaxInformationBarrierBridges                              : 5000
InformationBarriersManagementEnabled                      : False
InformationBarriersEnforcementEnabled                     : False
InformationBarriersRestrictPeopleSearch                   : True
UpgradeIBInProgress                                       : False
InformationBarrierMode                                    : Legacy
IsExcludedFromOnboardMigration                            : False
IsExcludedFromOffboardMigration                           : False
IsFfoMigrationInProgress                                  : False
ExternalCloudAccessEnabled                                : False
IsProcessEhaMigratedMessagesEnabled                       : False
TenantRelocationsAllowed                                  : False
ACLableSyncedObjectEnabled                                : False
PreferredInternetCodePageForShiftJis                      : 0
RequiredCharsetCoverage                                   : 100
ByteEncoderTypeFor7BitCharsets                            : 0
PublicComputersDetectionEnabled                           : False
RmsoSubscriptionStatus                                    : Deleted
