"DisplayName","CreatedDateTime","AccountEnabled","AppRoleAssignmentRequired","TagList","ReplyUrls","ServicePrincipalType","Id"
"Audit GraphAPI Application","2026-07-29T06:39:54Z","True","False","","","Application","62c88874-5383-4919-ac44-827361ab2d70"
"Microsoft 365 Admin portal","2026-07-29T06:39:38Z","True","False","","https://ignite.admin.cloud.microsoft/landing,https://canary.admin.cloud.microsoft/landing,https://sdf.admin.cloud.microsoft/landing,https://admin.cloud.microsoft/landing,https://ignite.admin.cloud.microsoft/prelanding,https://sdf.admin.cloud.microsoft/prelanding,https://canary.admin.cloud.microsoft/prelanding,https://admin.cloud.microsoft/prelanding,https://scu.admin.cloud.microsoft/landing,https://brz.admin.cloud.microsoft/landing,https://wus.admin.cloud.microsoft/landing,https://sea.admin.cloud.microsoft/landing,https://cus.admin.cloud.microsoft/landing,https://frc.admin.cloud.microsoft/landing,https://weu.admin.cloud.microsoft/landing,https://eus.admin.cloud.microsoft/landing,https://ignite.admin.cloud.microsoft/msal_redirect.html,https://canary.admin.cloud.microsoft/msal_redirect.html,https://sdf.admin.cloud.microsoft/msal_redirect.html,https://admin.cloud.microsoft/msal_redirect.html,https://scu.admin.cloud.microsoft/msal_redirect.html,https://brz.admin.cloud.microsoft/msal_redirect.html,https://wus.admin.cloud.microsoft/msal_redirect.html,https://sea.admin.cloud.microsoft/msal_redirect.html,https://cus.admin.cloud.microsoft/msal_redirect.html,https://frc.admin.cloud.microsoft/msal_redirect.html,https://weu.admin.cloud.microsoft/msal_redirect.html,https://eus.admin.cloud.microsoft/msal_redirect.html,https://admin.cloud.microsoft,https://ignite.admin.cloud.microsoft,https://sdf.admin.cloud.microsoft,https://canary.admin.cloud.microsoft,https://ignite.admin.cloud.microsoft/msal_redirect_aobo.html,https://canary.admin.cloud.microsoft/msal_redirect_aobo.html,https://sdf.admin.cloud.microsoft/msal_redirect_aobo.html,https://admin.cloud.microsoft/msal_redirect_aobo.html,https://scu.admin.cloud.microsoft/msal_redirect_aobo.html,https://brz.admin.cloud.microsoft/msal_redirect_aobo.html,https://wus.admin.cloud.microsoft/msal_redirect_aobo.html,https://sea.admin.cloud.microsoft/msal_redirect_aobo.html,https://cus.admin.cloud.microsoft/msal_redirect_aobo.html,https://frc.admin.cloud.microsoft/msal_redirect_aobo.html,https://weu.admin.cloud.microsoft/msal_redirect_aobo.html,https://eus.admin.cloud.microsoft/msal_redirect_aobo.html,https://eau.admin.cloud.microsoft/landing,https://ind.admin.cloud.microsoft/landing,https://wjp.admin.cloud.microsoft/landing,https://wuk.admin.cloud.microsoft/landing,https://eau.admin.cloud.microsoft/msal_redirect_aobo.html,https://ind.admin.cloud.microsoft/msal_redirect_aobo.html,https://wjp.admin.cloud.microsoft/msal_redirect_aobo.html,https://wuk.admin.cloud.microsoft/msal_redirect_aobo.html,https://eau.admin.cloud.microsoft/msal_redirect.html,https://ind.admin.cloud.microsoft/msal_redirect.html,https://wjp.admin.cloud.microsoft/msal_redirect.html,https://wuk.admin.cloud.microsoft/msal_redirect.html,https://canary-afd.admin.cloud.microsoft/landing,https://sdf-afd.admin.cloud.microsoft/landing,https://ignite-afd.admin.cloud.microsoft/landing,https://uascanaryprv.admin.cloud.microsoft/landing,https://uassdfprv.admin.cloud.microsoft/landing,https://canary-afd.admin.cloud.microsoft/msal_redirect_aobo.html,https://canary-afd.admin.cloud.microsoft/msal_redirect.html,https://sdf-afd.admin.cloud.microsoft/msal_redirect.html,https://sdf-afd.admin.cloud.microsoft/msal_redirect_aobo.html,https://ignite-afd.admin.cloud.microsoft/msal_redirect_aobo.html,https://ignite-afd.admin.cloud.microsoft/msal_redirect.html,https://uascanaryprv.admin.cloud.microsoft/msal_redirect.html,https://uassdfprv.admin.cloud.microsoft/msal_redirect.html,https://uasigniteprv.admin.cloud.microsoft/msal_redirect.html,https://uascanaryprv.admin.cloud.microsoft/msal_redirect_aobo.html,https://uassdfprv.admin.cloud.microsoft/msal_redirect_aobo.html,https://uasigniteprv.admin.cloud.microsoft/msal_redirect_aobo.html,https://ring0.admin.cloud.microsoft,https://ring0.admin.cloud.microsoft/landing,https://ring0.admin.cloud.microsoft/prelanding,https://ring0.admin.cloud.microsoft/msal_redirect.html,https://ring0.admin.cloud.microsoft/msal_redirect_aobo.html","Application","a436d907-35d1-4aaa-b5f1-40d38d649a78"
"Thunderbird","2026-07-21T20:36:52Z","True","False","WindowsAzureActiveDirectoryIntegratedApp","https://localhost,https://login.microsoftonline.com/common/oauth2/nativeclient,http://localhost,net.thunderbird://oauth2/callback","Application","43b78873-0a87-4a62-8337-2636cccbdfe7"
"Microsoft Defender Hunting","2026-07-07T06:18:51Z","True","False","disableLegacyUserImpersonationClient,disableLegacyUserImpersonationResource,GitCreatedApp","","Application","560b41f9-5e67-4096-afc9-19ba45ac34ae"
"Microsoft Alchemy Service","2026-07-06T15:23:19Z","True","False","","https://alchemy.microsoft.com","Application","5851a5a1-ac1f-407b-a77e-ef7667ce3caa"
"Office 365 Search Service","2026-07-06T08:06:14Z","True","False","disableLegacyUserImpersonationResource,disableLegacyUserImpersonationClient","","Application","f552a43c-b7b1-4268-9569-dce5c91ac4db"
"My Profile","2026-07-06T06:12:13Z","True","False","disableAcceptingTenantedPassthroughTokens,disableRequestingTenantedPassthroughTokens","https://myprofile.microsoft.com,https://myaccount.microsoft.com,https://myworkaccount.microsoft.com,https://myaccount.azure.us,https://myaccount.microsoft.com/redirect.html,https://myprofile.microsoft.com/redirect.html,https://myworkaccount.microsoft.com/redirect.html,https://myaccount.azure.us/redirect.html,https://myaccount.microsoft.com/blank.html,https://myprofile.microsoft.com/blank.html,https://myworkaccount.microsoft.com/blank.html,https://myaccount.azure.us/blank.html","Application","6a6b2c74-c443-4ad9-96ed-07724c0ff124"
"Azure Purview","2026-07-06T05:42:39Z","True","False","","","Application","ce7cdb47-4ac9-40df-a3ce-e2b2412414b9"
"Microsoft 365 Security and Compliance Center","2026-07-06T05:42:23Z","True","False","disableLegacyUserImpersonationResource","https://sip.security.microsoft.com/,https://sip.compliance.microsoft.com/,https://sip.protection.office.com/,https://df.security.microsoft.com/,https://df.compliance.microsoft.com/,https://df.protection.office.com/,https://protection.office.com/,https://compliance.microsoft.com/,https://security.microsoft.com/,https://transition.security.microsoft.com/,https://partner-access.security.microsoft.com/,https://df.mto.security.microsoft.com/,https://sip.mto.security.microsoft.com/,https://mto.security.microsoft.com/,https://purview.microsoft.com/,https://sip.purview.microsoft.com/,https://df.purview.microsoft.com/,https://dev.purview.microsoft.com/,https://dev.security.microsoft.com/,https://launcher.df.security.microsoft.com/,https://launcher.sip.security.microsoft.com/,https://launcher.security.microsoft.com/,https://mto.df.security.microsoft.com/,https://mto.sip.security.microsoft.com/,https://partner-access.df.security.microsoft.com/,https://partner-access.sip.security.microsoft.com/,https://mto.dev.security.microsoft.com/,https://dev.purview.microsoft.com/Blank,https://dev.security.microsoft.com/Blank,https://df.compliance.microsoft.com/Blank,https://df.mto.security.microsoft.com/Blank,https://df.protection.office.com/Blank,https://df.purview.microsoft.com/Blank,https://df.security.microsoft.com/Blank,https://mto.df.security.microsoft.com/Blank,https://launcher.df.security.microsoft.com/Blank,https://partner-access.df.security.microsoft.com/Blank,https://sip.compliance.microsoft.com/Blank,https://sip.mto.security.microsoft.com/Blank,https://sip.protection.office.com/Blank,https://sip.purview.microsoft.com/Blank,https://sip.security.microsoft.com/Blank,https://launcher.sip.security.microsoft.com/Blank,https://mto.sip.security.microsoft.com/Blank,https://partner-access.sip.security.microsoft.com/Blank,https://compliance.microsoft.com/Blank,https://protection.office.com/Blank,https://purview.microsoft.com/Blank,https://security.microsoft.com/Blank,https://launcher.security.microsoft.com/Blank,https://mto.security.microsoft.com/Blank,https://partner-access.security.microsoft.com/Blank,https://transition.security.microsoft.com/Blank,https://ai.df.security.microsoft.com/,https://ai.sip.security.microsoft.com/,https://ai.security.microsoft.com/,https://ai.df.security.microsoft.com/Blank,https://ai.sip.security.microsoft.com/Blank,https://ai.security.microsoft.com/Blank,https://ai.dev.security.microsoft.com/,https://ai.dev.security.microsoft.com/Blank","Application","f1d65996-8269-4778-b232-a79772a6e8e0"
"AAD App Management","2026-07-06T04:58:56Z","True","False","","","Application","7791436f-09bc-48b6-837d-a5c9db889154"
