"Filter","Operation","LogicalOperationName","NotificationEnabled","NotifyUser","Severity","Threshold","VolumeThreshold","ExternalScenarioData","TimeWindow","NotifyUserOnFilterMatch","MergedRuleXml","StreamType","ThreatType","PrivacyManagementScopedSensitiveInformationTypes","PrivacyManagementScopedSensitiveInformationTypesForCounting","PrivacyManagementScopedSensitiveInformationTypesThreshold","AlertBy","AlertFor","AlertScenario","Scenario","NotifyUserThrottleThreshold","NotifyUserThrottleWindow","NotifyUserSuppressionExpiryDate","NotificationCulture","AlertOverrideChangedUtc","AggregationType","Category","IsSystemRule","TagFilter","UserTags","RecipientTags","SenderTags","CustomProperties","UseCreatedDateTime","CorrelationPolicyId","ReadOnly","ErrorMetadata","ExternalIdentity","ImmutableId","Priority","Workload","Policy","Comment","Disabled","Mode","ObjectVersion","MaximumBlobRuleLength","CreatedBy","LastModifiedBy","Guid","Identity","Id","IsValid","ExchangeVersion","Name","DistinguishedName","ObjectCategory","ObjectClass","WhenChanged","WhenCreated","WhenChangedUTC","WhenCreatedUTC","ExchangeObjectId","OrganizationalUnitRoot","OrganizationId","OriginatingServer","ObjectState"
,"MipAutoLabelSimulationCompletion",,"True","TenantAdmins","Low",,,,,"False",,"Activity","Activity",,,,,,"Activity","AuditProtectionAlert",,,,,,"None","ThreatManagement","True",,,,,,,"00000000-0000-0000-0000-000000000000","False",,"","dac59cbc-1d3b-4f5e-91e0-02d780c53915","0","AuditAlerting","dac59cbc-1d3b-4f5e-91e0-02d780c53915","AutoLabel policy simulation has been completed. -V1.0.0.0","False","Enforce","71581ae8-3962-44ac-4fa1-08daa82aebf3","0","","","dac59cbc-1d3b-4f5e-91e0-02d780c53915","FFO.extest.microsoft.com/Microsoft Exchange Hosted Organizations/f00ed340-8f84-4eb4-83f3-0075a22b262e/Configuration/MIP AutoLabel simulation completed","FFO.extest.microsoft.com/Microsoft Exchange Hosted Organizations/f00ed340-8f84-4eb4-83f3-0075a22b262e/Configuration/MIP AutoLabel simulation completed","True","0.20 (15.0.0.0)","MIP AutoLabel simulation completed","CN=MIP AutoLabel simulation completed,CN=Configuration,CN=f00ed340-8f84-4eb4-83f3-0075a22b262e,OU=Microsoft Exchange Hosted Organizations,DC=FFO,DC=extest,DC=microsoft,DC=com",,"msExchUnifiedRule","2022-10-06 23:12:32","2022-10-06 23:12:32","2022-10-07 06:12:32","2022-10-07 06:12:32","dac59cbc-1d3b-4f5e-91e0-02d780c53915","FFO.extest.microsoft.com/Microsoft Exchange Hosted Organizations/f00ed340-8f84-4eb4-83f3-0075a22b262e","FFO.extest.microsoft.com/Microsoft Exchange Hosted Organizations/f00ed340-8f84-4eb4-83f3-0075a22b262e - FFO.extest.microsoft.com/Microsoft Exchange Hosted Organizations/f00ed340-8f84-4eb4-83f3-0075a22b262e/Configuration","","New"
"-not (Activity.User.Tags -like 'hve')","CompromisedWarningAccount",,"True","TenantAdmins","Medium",,,,,"False",,"Activity","Activity",,,,,,"Activity","AuditProtectionAlert",,,,,,"None","ThreatManagement","True",,,,,,,"00000000-0000-0000-0000-000000000000","False",,"","be215649-fba8-4339-9ddd-05991a43b948","0","AuditAlerting","105a3254-0eca-4a3d-8686-a66115a99235","User has been detected as sending suspicious messages outside the organization and will be restricted if this activity continues. -V1.0.0.1","False","Enforce","d96e7c6a-ae94-46c8-4957-08daa82aecfe","0","","","be215649-fba8-4339-9ddd-05991a43b948","FFO.extest.microsoft.com/Microsoft Exchange Hosted Organizations/f00ed340-8f84-4eb4-83f3-0075a22b262e/Configuration/Suspicious email sending patterns detected","FFO.extest.microsoft.com/Microsoft Exchange Hosted Organizations/f00ed340-8f84-4eb4-83f3-0075a22b262e/Configuration/Suspicious email sending patterns detected","True","0.20 (15.0.0.0)","Suspicious email sending patterns detected","CN=Suspicious email sending patterns detected,CN=Configuration,CN=f00ed340-8f84-4eb4-83f3-0075a22b262e,OU=Microsoft Exchange Hosted Organizations,DC=FFO,DC=extest,DC=microsoft,DC=com",,"msExchUnifiedRule","2022-10-06 23:12:34","2022-10-06 23:12:34","2022-10-07 06:12:34","2022-10-07 06:12:34","be215649-fba8-4339-9ddd-05991a43b948","FFO.extest.microsoft.com/Microsoft Exchange Hosted Organizations/f00ed340-8f84-4eb4-83f3-0075a22b262e","FFO.extest.microsoft.com/Microsoft Exchange Hosted Organizations/f00ed340-8f84-4eb4-83f3-0075a22b262e - FFO.extest.microsoft.com/Microsoft Exchange Hosted Organizations/f00ed340-8f84-4eb4-83f3-0075a22b262e/Configuration","","New"
"(Mail.IsMailZAPSuccessful -eq 1) -and (Mail.IsGenericZapped -eq 1) -and (Mail.TenantPolicyFinalVerdictSource -ne 'PhishEdu') -and (Mail.TenantPolicyFinalVerdictSource -ne 'SecOps') -and (Mail.TenantPolicyFinalVerdictSource -ne 'ThirdPartyFiltering')",,,"False","TenantAdmins","Informational",,,,,"False",,"Mail","Malicious",,,,,,"Protection","ProtectionAlert",,,,,,"None","ThreatManagement","True",,,,,,,"00000000-0000-0000-0000-000000000000","False",,"","b8f6b088-5487-4c70-037c-08d8d71a43fe","0","AuditAlerting","a1f563cc-fb1f-466b-1fb5-08d8d71a3050","Malicious emails were delivered and later removed -V1.0.0.2","False","Enforce","0f8fa7e3-af70-4c89-df24-08daa82ae88a","0","","","b8f6b088-5487-4c70-037c-08d8d71a43fe","FFO.extest.microsoft.com/Microsoft Exchange Hosted Organizations/f00ed340-8f84-4eb4-83f3-0075a22b262e/Configuration/Email messages removed after delivery​","FFO.extest.microsoft.com/Microsoft Exchange Hosted Organizations/f00ed340-8f84-4eb4-83f3-0075a22b262e/Configuration/Email messages removed after delivery​","True","0.20 (15.0.0.0)","Email messages removed after delivery​","CN=Email messages removed after delivery​,CN=Configuration,CN=f00ed340-8f84-4eb4-83f3-0075a22b262e,OU=Microsoft Exchange Hosted Organizations,DC=FFO,DC=extest,DC=microsoft,DC=com",,"msExchUnifiedRule","2022-10-06 23:12:27","2022-10-06 23:12:27","2022-10-07 06:12:27","2022-10-07 06:12:27","b8f6b088-5487-4c70-037c-08d8d71a43fe","FFO.extest.microsoft.com/Microsoft Exchange Hosted Organizations/f00ed340-8f84-4eb4-83f3-0075a22b262e","FFO.extest.microsoft.com/Microsoft Exchange Hosted Organizations/f00ed340-8f84-4eb4-83f3-0075a22b262e - FFO.extest.microsoft.com/Microsoft Exchange Hosted Organizations/f00ed340-8f84-4eb4-83f3-0075a22b262e/Configuration","","New"
"(Mail.IsMailZAPSuccessful -eq 1) -and Mail.IsCampaignZapped -eq 1 -and (Mail.TenantPolicyFinalVerdictSource -ne 'PhishEdu') -and (Mail.TenantPolicyFinalVerdictSource -ne 'SecOps') -and (Mail.TenantPolicyFinalVerdictSource -ne 'ThirdPartyFiltering')",,,"False","TenantAdmins","Informational",,,,,"False",,"Mail","Malicious",,,,,,"Protection","ProtectionAlert",,,,,,"None","ThreatManagement","True",,,,,,,"00000000-0000-0000-0000-000000000000","False",,"","c8522cbb-9368-4e25-4ee9-08d8d899dfab","0","AuditAlerting","ef850570-5624-42b2-ff0a-08d8d899d578","Emails messages from a campaign were delivered and later removed -V1.0.0.2","False","Enforce","3ff9aad8-a452-40f3-7401-08db616c8cb2","0","","","c8522cbb-9368-4e25-4ee9-08d8d899dfab","FFO.extest.microsoft.com/Microsoft Exchange Hosted Organizations/f00ed340-8f84-4eb4-83f3-0075a22b262e/Configuration/Email messages from a campaign removed after delivery​","FFO.extest.microsoft.com/Microsoft Exchange Hosted Organizations/f00ed340-8f84-4eb4-83f3-0075a22b262e/Configuration/Email messages from a campaign removed after delivery​","True","0.20 (15.0.0.0)","Email messages from a campaign removed after delivery​","CN=Email messages from a campaign removed after delivery​,CN=Configuration,CN=f00ed340-8f84-4eb4-83f3-0075a22b262e,OU=Microsoft Exchange Hosted Organizations,DC=FFO,DC=extest,DC=microsoft,DC=com",,"msExchUnifiedRule","2023-05-30 17:18:24","2023-05-30 17:18:24","2023-05-31 00:18:24","2023-05-31 00:18:24","c8522cbb-9368-4e25-4ee9-08d8d899dfab","FFO.extest.microsoft.com/Microsoft Exchange Hosted Organizations/f00ed340-8f84-4eb4-83f3-0075a22b262e","FFO.extest.microsoft.com/Microsoft Exchange Hosted Organizations/f00ed340-8f84-4eb4-83f3-0075a22b262e - FFO.extest.microsoft.com/Microsoft Exchange Hosted Organizations/f00ed340-8f84-4eb4-83f3-0075a22b262e/Configuration","","New"
"Activity.AirItemType -eq 'User'","AirManualInvestigation",,"False","TenantAdmins","Medium",,,,,"False",,"Activity","Activity",,,,,,"Activity","AuditProtectionAlert",,,,,,"None","ThreatManagement","True",,,,,,,"00000000-0000-0000-0000-000000000000","False",,"","845686e4-f843-42cf-36d7-08d8e2eca19c","0","AuditAlerting","fbb0585f-318a-4e26-eec9-08d8e2ec980c","This alert is triggered because an admin triggered investigation of a user -V1.0.0.0","False","Enforce","9ffc96ec-2e27-4a3e-efd9-08daa82aee38","0","","","845686e4-f843-42cf-36d7-08d8e2eca19c","FFO.extest.microsoft.com/Microsoft Exchange Hosted Organizations/f00ed340-8f84-4eb4-83f3-0075a22b262e/Configuration/Admin triggered user compromise investigation","FFO.extest.microsoft.com/Microsoft Exchange Hosted Organizations/f00ed340-8f84-4eb4-83f3-0075a22b262e/Configuration/Admin triggered user compromise investigation","True","0.20 (15.0.0.0)","Admin triggered user compromise investigation","CN=Admin triggered user compromise investigation,CN=Configuration,CN=f00ed340-8f84-4eb4-83f3-0075a22b262e,OU=Microsoft Exchange Hosted Organizations,DC=FFO,DC=extest,DC=microsoft,DC=com",,"msExchUnifiedRule","2022-10-06 23:12:36","2022-10-06 23:12:36","2022-10-07 06:12:36","2022-10-07 06:12:36","845686e4-f843-42cf-36d7-08d8e2eca19c","FFO.extest.microsoft.com/Microsoft Exchange Hosted Organizations/f00ed340-8f84-4eb4-83f3-0075a22b262e","FFO.extest.microsoft.com/Microsoft Exchange Hosted Organizations/f00ed340-8f84-4eb4-83f3-0075a22b262e - FFO.extest.microsoft.com/Microsoft Exchange Hosted Organizations/f00ed340-8f84-4eb4-83f3-0075a22b262e/Configuration","","New"
"(Click.IsSystemBlockOverriden -eq 1) -or (Click.IsTenantBlockOverriden -eq 1)",,,"True","TenantAdmins","High",,,,,"False",,"None","MaliciousUrlClick",,,,,,"MaliciousUrlClick","MaliciousUrlClick",,,,,,"None","ThreatManagement","True",,,,,,,"00000000-0000-0000-0000-000000000000","False",,"","5453b67e-6c81-4a46-b96c-08d97b58d4ac","0","AuditAlerting","e7fec753-4e4b-491c-2152-08d97b58ad34","We have detected that one of your users has recently clicked through on a link that was found to be malicious. -V1.0.0.3","False","Enforce","04e1938d-1e90-48b8-c8df-08daa82af098","0","","","5453b67e-6c81-4a46-b96c-08d97b58d4ac","FFO.extest.microsoft.com/Microsoft Exchange Hosted Organizations/f00ed340-8f84-4eb4-83f3-0075a22b262e/Configuration/A user clicked through to a potentially malicious URL​","FFO.extest.microsoft.com/Microsoft Exchange Hosted Organizations/f00ed340-8f84-4eb4-83f3-0075a22b262e/Configuration/A user clicked through to a potentially malicious URL​","True","0.20 (15.0.0.0)","A user clicked through to a potentially malicious URL​","CN=A user clicked through to a potentially malicious URL​,CN=Configuration,CN=f00ed340-8f84-4eb4-83f3-0075a22b262e,OU=Microsoft Exchange Hosted Organizations,DC=FFO,DC=extest,DC=microsoft,DC=com",,"msExchUnifiedRule","2022-10-06 23:12:40","2022-10-06 23:12:40","2022-10-07 06:12:40","2022-10-07 06:12:40","5453b67e-6c81-4a46-b96c-08d97b58d4ac","FFO.extest.microsoft.com/Microsoft Exchange Hosted Organizations/f00ed340-8f84-4eb4-83f3-0075a22b262e","FFO.extest.microsoft.com/Microsoft Exchange Hosted Organizations/f00ed340-8f84-4eb4-83f3-0075a22b262e - FFO.extest.microsoft.com/Microsoft Exchange Hosted Organizations/f00ed340-8f84-4eb4-83f3-0075a22b262e/Configuration","","New"
,"ConnectorAbuse",,"True","TenantAdmins","High",,,,,"False",,"Activity","Activity",,,,,,"Activity","AuditProtectionAlert",,,,,,"None","ThreatManagement","True",,,,,,,"00000000-0000-0000-0000-000000000000","False",,"","8bb9c6c8-dc12-40e1-5bb8-08da05b13393","0","AuditAlerting","d1de9ca1-fcd8-4ce1-f041-08da05b11773","Connector has been restricted from sending messages due to potential compromise activity. -V1.0.0.1","False","Enforce","d1a9b1ee-1eb8-4d31-3568-08daa82ae909","0","","","8bb9c6c8-dc12-40e1-5bb8-08da05b13393","FFO.extest.microsoft.com/Microsoft Exchange Hosted Organizations/f00ed340-8f84-4eb4-83f3-0075a22b262e/Configuration/Suspicious connector activity","FFO.extest.microsoft.com/Microsoft Exchange Hosted Organizations/f00ed340-8f84-4eb4-83f3-0075a22b262e/Configuration/Suspicious connector activity","True","0.20 (15.0.0.0)","Suspicious connector activity","CN=Suspicious connector activity,CN=Configuration,CN=f00ed340-8f84-4eb4-83f3-0075a22b262e,OU=Microsoft Exchange Hosted Organizations,DC=FFO,DC=extest,DC=microsoft,DC=com",,"msExchUnifiedRule","2022-10-06 23:12:27","2022-10-06 23:12:27","2022-10-07 06:12:27","2022-10-07 06:12:27","8bb9c6c8-dc12-40e1-5bb8-08da05b13393","FFO.extest.microsoft.com/Microsoft Exchange Hosted Organizations/f00ed340-8f84-4eb4-83f3-0075a22b262e","FFO.extest.microsoft.com/Microsoft Exchange Hosted Organizations/f00ed340-8f84-4eb4-83f3-0075a22b262e - FFO.extest.microsoft.com/Microsoft Exchange Hosted Organizations/f00ed340-8f84-4eb4-83f3-0075a22b262e/Configuration","","New"
,"UploadDataCompleted",,"True","TenantAdmins","Low",,,,,"False",,"Activity","Activity",,,,,,"Activity","AuditProtectionAlert",,,,,,"None","ThreatManagement","True",,,,,,,"00000000-0000-0000-0000-000000000000","False",,"","55272906-f9a5-4adf-9395-0abeec18aee1","0","AuditAlerting","8d58b459-63cd-4b73-aca0-f24ed896f018","New sensitive information was uploaded and is ready to be protected. -V1.0.0.0","False","Enforce","37f150fb-0410-4a78-6ade-08daa82aeba9","0","","","55272906-f9a5-4adf-9395-0abeec18aee1","FFO.extest.microsoft.com/Microsoft Exchange Hosted Organizations/f00ed340-8f84-4eb4-83f3-0075a22b262e/Configuration/Successful exact data match upload","FFO.extest.microsoft.com/Microsoft Exchange Hosted Organizations/f00ed340-8f84-4eb4-83f3-0075a22b262e/Configuration/Successful exact data match upload","True","0.20 (15.0.0.0)","Successful exact data match upload","CN=Successful exact data match upload,CN=Configuration,CN=f00ed340-8f84-4eb4-83f3-0075a22b262e,OU=Microsoft Exchange Hosted Organizations,DC=FFO,DC=extest,DC=microsoft,DC=com",,"msExchUnifiedRule","2022-10-06 23:12:32","2022-10-06 23:12:32","2022-10-07 06:12:32","2022-10-07 06:12:32","55272906-f9a5-4adf-9395-0abeec18aee1","FFO.extest.microsoft.com/Microsoft Exchange Hosted Organizations/f00ed340-8f84-4eb4-83f3-0075a22b262e","FFO.extest.microsoft.com/Microsoft Exchange Hosted Organizations/f00ed340-8f84-4eb4-83f3-0075a22b262e - FFO.extest.microsoft.com/Microsoft Exchange Hosted Organizations/f00ed340-8f84-4eb4-83f3-0075a22b262e/Configuration","","New"
"(Activity.AirAdminActionType -eq 'MailAction')","AirAdminActionInvestigation",,"False","TenantAdmins","Informational",,,,,"False",,"Activity","Activity",,,,,,"Activity","AuditProtectionAlert",,,,,,"None","ThreatManagement","True",,,,,,,"00000000-0000-0000-0000-000000000000","False",,"","da9eb28a-4238-43d5-bc01-0e02842ecffe","0","AuditAlerting","1ff90583-9eea-4a60-a76a-9a5d2a052215","This alert is triggered when an admin takes remediation action on the selected entity -V1.0.0.0","False","Enforce","ad696e47-704d-4918-df41-08dd72564b16","0","","","da9eb28a-4238-43d5-bc01-0e02842ecffe","FFO.extest.microsoft.com/Microsoft Exchange Hosted Organizations/f00ed340-8f84-4eb4-83f3-0075a22b262e/Configuration/Administrative action submitted by an Administrator","FFO.extest.microsoft.com/Microsoft Exchange Hosted Organizations/f00ed340-8f84-4eb4-83f3-0075a22b262e/Configuration/Administrative action submitted by an Administrator","True","0.20 (15.0.0.0)","Administrative action submitted by an Administrator","CN=Administrative action submitted by an Administrator,CN=Configuration,CN=f00ed340-8f84-4eb4-83f3-0075a22b262e,OU=Microsoft Exchange Hosted Organizations,DC=FFO,DC=extest,DC=microsoft,DC=com",,"msExchUnifiedRule","2025-04-02 19:21:50","2025-04-02 19:21:50","2025-04-03 02:21:50","2025-04-03 02:21:50","da9eb28a-4238-43d5-bc01-0e02842ecffe","FFO.extest.microsoft.com/Microsoft Exchange Hosted Organizations/f00ed340-8f84-4eb4-83f3-0075a22b262e","FFO.extest.microsoft.com/Microsoft Exchange Hosted Organizations/f00ed340-8f84-4eb4-83f3-0075a22b262e - FFO.extest.microsoft.com/Microsoft Exchange Hosted Organizations/f00ed340-8f84-4eb4-83f3-0075a22b262e/Configuration","","New"
,"GrantAdminPermission",,"True","TenantAdmins","Low",,,,,"False",,"Activity","Activity",,,,,,"Activity","AuditProtectionAlert",,,,,,"None","AccessGovernance","True",,,,,,,"00000000-0000-0000-0000-000000000000","False",,"","17d51759-88e1-40c1-8df3-20bcf2e43057","0","AuditAlerting","ae6108c1-8814-4a00-bf93-22396aad4bd8","This alert is triggered when someone in your organization becomes an Exchange admin or gets new Exchange admin permissions -V1.0.0.1","False","Enforce","2eb60da1-2455-4f93-7f0b-08daa82aec6a","0","","","17d51759-88e1-40c1-8df3-20bcf2e43057","FFO.extest.microsoft.com/Microsoft Exchange Hosted Organizations/f00ed340-8f84-4eb4-83f3-0075a22b262e/Configuration/Elevation of Exchange admin privilege","FFO.extest.microsoft.com/Microsoft Exchange Hosted Organizations/f00ed340-8f84-4eb4-83f3-0075a22b262e/Configuration/Elevation of Exchange admin privilege","True","0.20 (15.0.0.0)","Elevation of Exchange admin privilege","CN=Elevation of Exchange admin privilege,CN=Configuration,CN=f00ed340-8f84-4eb4-83f3-0075a22b262e,OU=Microsoft Exchange Hosted Organizations,DC=FFO,DC=extest,DC=microsoft,DC=com",,"msExchUnifiedRule","2022-10-06 23:12:33","2022-10-06 23:12:33","2022-10-07 06:12:33","2022-10-07 06:12:33","17d51759-88e1-40c1-8df3-20bcf2e43057","FFO.extest.microsoft.com/Microsoft Exchange Hosted Organizations/f00ed340-8f84-4eb4-83f3-0075a22b262e","FFO.extest.microsoft.com/Microsoft Exchange Hosted Organizations/f00ed340-8f84-4eb4-83f3-0075a22b262e - FFO.extest.microsoft.com/Microsoft Exchange Hosted Organizations/f00ed340-8f84-4eb4-83f3-0075a22b262e/Configuration","","New"
